QualifiedName,Name,Complexity,Coupling,Size,Lack of Cohesion,CBO,RFC,SRFC,DIT,NOC,WMC,LOC,CMLOC,NOF,NOSF,NOM,NOSM,NORM,LCOM,LCAM,LTCC,ATFD,SI,#(C&I),#C,#I,LOC,AC,EC,Abs,Ins,ND,WMC,MCC,NBD,LOC,#Pa,#MC,#AF
<Field>org.apache.skywalking.aop.server.receiver.mesh.TelemetryDataDispatcher->SOURCE_RECEIVER,static SOURCE_RECEIVER : SourceReceiver,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.apache.skywalking.apm.agent,org.apache.skywalking.apm.agent,low,low,low,low,,,,,,21,102,,,,,,,,,,,,3,3,0,102,0,1,0,1,0,21,,,,,,
org.apache.skywalking.apm.agent.SkyWalkingAgent,SkyWalkingAgent,very-high,high,low-medium,low,21,206,26,1,0,9,102,51,0,1,0,2,0,0,0.333,0,0,0,,,,102,,,,,,9,,,,,,
org.apache.skywalking.apm.agent.SkyWalkingAgent.Listener,Listener,low,low,low,low,5,30,5,1,0,6,26,25,0,0,5,0,0,0,0.325,0,0,0,,,,26,,,,,,6,,,,,,
org.apache.skywalking.apm.agent.SkyWalkingAgent.Transformer,Transformer,low,low,low,low,7,29,7,1,0,6,23,21,1,0,2,0,0,0,0.417,0,1,0,,,,23,,,,,,6,,,,,,
<Method>org.apache.skywalking.apm.agent.SkyWalkingAgent.private static allSkyWalkingAgentExcludeToolkit( ): Junction,static allSkyWalkingAgentExcludeToolkit( ): Junction,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,4,0
"<Method>org.apache.skywalking.apm.agent.SkyWalkingAgent.public static premain( String, Instrumentation ): void","static premain( String, Instrumentation ): void",low,very-high,low-medium,low,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,3,49,2,41,7
<Field>org.apache.skywalking.apm.agent.SkyWalkingAgent->logger,static final logger : ILog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.apache.skywalking.apm.agent.core.base64,org.apache.skywalking.apm.agent.core.base64,low,low,low,low,,,,,,3,8,,,,,,,,,,,,1,1,0,8,2,0,0,0,1,3,,,,,,
org.apache.skywalking.apm.agent.core.base64.Base64,Base64,low,low,low,low,0,6,3,1,0,3,8,5,0,2,1,2,0,1,0.167,1,0,0,,,,8,,,,,,3,,,,,,
<Method>org.apache.skywalking.apm.agent.core.base64.Base64.private Base64( ): void,Base64( ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,0,0,0
<Method>org.apache.skywalking.apm.agent.core.base64.Base64.public static decode2UTFString( String ): String,static decode2UTFString( String ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,1,1
<Method>org.apache.skywalking.apm.agent.core.base64.Base64.public static encode( String ): String,static encode( String ): String,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,2,1
<Field>org.apache.skywalking.apm.agent.core.base64.Base64->DECODER,static final DECODER : Decoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Field>org.apache.skywalking.apm.agent.core.base64.Base64->ENCODER,static final ENCODER : Encoder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
<Package>org.apache.skywalking.apm.agent.core.boot,org.apache.skywalking.apm.agent.core.boot,low,low,low-medium,low,,,,,,41,132,,,,,,,,,,,,8,5,3,132,28,2,0.375,0.067,0.558,41,,,,,,
org.apache.skywalking.apm.agent.core.boot.AgentPackageNotFoundException,AgentPackageNotFoundException,low-medium,low,low,low,0,1,0,3,0,1,3,2,0,0,1,0,0,0,0,0,0,0,,,,3,,,,,,1,,,,,,
<Method>org.apache.skywalking.apm.agent.core.boot.AgentPackageNotFoundException.public AgentPackageNotFoundException( String ): void,AgentPackageNotFoundException( String ): void,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,1,0,0
org.apache.skywalking.apm.agent.core.boot.AgentPackagePath,AgentPackagePath,low,low,low,low,2,18,16,1,0,8,33,30,0,2,0,3,0,0.75,0,0,0,0,,,,33,,,,,,8,,,,,,
<Method>org.apache.skywalking.apm.agent.core.boot.AgentPackagePath.private static findPath( ): File,static findPath( ): File,low,low,low,low,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,24,0,18,3
<Method>org.apache.skywalking.apm.agent.core.boot.AgentPackagePath.public static getPath( ): File,static getPath( ): File,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,0,1,3
<Method>org.apache.skywalking.apm.agent.core.boot.AgentPackagePath.public static isPathFound( ): boolean,static isPathFound( ): boolean,low,low,low,low,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,0,0,1
